,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
89285,32,1,2021-09-11 12:51:42,2021-09-11 13:11:12,0 days 00:00:00,-30.61092152813123,40.39963622701335,10273.615206153283,253.47117479167392,False,0.0,0.0,0.0,758.2422765300165,186.75652981236996,0.0,228.40775,0.00026024014,25347.11747916739,1.4287756922597432,0.38659856540624465,0.00018214205198389776,3586541253576.77,7.97483364478735e-05,-4.114974,-40.51877,-0.14472418,0.89261395,229.95139,-3.6620574,-39.336952,0.0028689084341544913,0.01351846379516571,0.0,1065.39291783772,740.68445,324.7084695955325,-179.34686,179.34686,111217.63921590408,42996.579768737814,6.2903371350785744e-06,0.009261033194892087,47.14969995461894,1.7776054261944976,32247953.4618992,1.0328506690067942,8.280822452924989e-17,1.6463285030791875e-05,-58.627678,15.569281,-43.058395,True,0.0,1169,0.0,702746.7171203974,4474854.908593599,,
89286,39,1,2021-09-11 12:51:49,2021-09-11 13:11:12,0 days 00:00:00,-30.630464852210196,40.39518335960818,10294.77871491431,252.64440731169984,False,0.0,0.0,0.0,746.0294448860747,184.35614360490715,0.0,228.24055,0.0002564258,25264.440731169983,1.4311983581846943,0.3856198104817257,0.00017916858758732082,3629072029168.872,7.904931408439373e-05,-4.1658287,-40.563572,-0.14751257,0.8950189,229.78012,-3.7134628,-39.38589,0.0029015091261828728,0.013542094474054996,0.0,1065.3808542142679,742.2849,323.09594210489286,-179.3419,179.3419,108019.82395505474,41654.58404181759,6.181622190918395e-06,0.008996842506255442,46.02577065359907,1.7436712867955748,33596352.005525105,1.0606555987095807,7.998921396777708e-17,1.6586744083068086e-05,-60.512154,15.934596,-44.577557,True,0.0,1169,0.0,701101.2959828094,4474315.913727391,,
89287,41,1,2021-09-11 12:51:51,2021-09-11 13:11:12,0 days 00:19:21,-30.636314504455243,40.39362757825388,10304.671605719499,252.25868419916657,True,245.03685429344526,-0.23758921552366863,-0.9713657213773028,1946.8501338895944,176.37481253911758,34517.50921445809,228.1623,0.00025455936,25225.868419916656,1.4317863918826381,0.38516313613599196,0.0001777914367598765,6287972086069.87,7.855851070545425e-05,-4.189607,-40.598316,-0.14843528,0.8953192,229.7,-3.73752,-39.42238,0.0029164527017610455,0.013755678171130981,0.011299098635683508,1065.3802137905761,742.76935,322.6108656460449,-179.34302,179.34302,160292.96378768713,61738.940632998565,5.855913076966752e-06,0.008204809907521548,42.79126613209281,1.427350071787192,39227998.144687615,0.6455613563070058,4.4114683471111636e-17,2.2184541725426216e-05,-37.450592,10.77879,-26.671803,True,-12713474.111587819,1169,0.3225,700609.4132121109,4474129.903588652,,
89288,42,1,2021-09-11 12:51:52,2021-09-11 13:11:12,0 days 00:00:00,-30.639124946609456,40.39310399824631,10305.537811148086,252.22493362816414,False,0.0,0.0,0.0,735.7459758244303,179.4180034607378,0.0,228.15562,0.00025444909,25222.493362816414,1.4321009348672826,0.38512285903416277,0.00017767538525909407,6403890728119.017,7.89281498686974e-05,-4.19173,-40.591515,-0.14878254,0.8959192,229.69313,-3.7396474,-39.415848,0.002918022854173046,0.013662587516666548,0.0,1065.3768932920116,743.0016,322.3753063779491,-179.34303,179.34303,103677.32810572512,39928.509017099816,5.0412440154334e-06,0.006350918578989974,43.980989501650924,1.5367607598242103,61767513.159565985,1.3175618745992046,3.9126233932119634e-17,1.5863906330245744e-05,-75.24766,17.274574,-57.973083,True,0.0,1169,0.0,700372.4179698309,4474065.402155538,,
89289,49,1,2021-09-11 12:51:59,2021-09-11 13:11:12,0 days 00:19:13,-30.658914070265922,40.38881720705621,10320.024148247621,251.6610339824343,True,230.25546279589568,-0.20772481336637907,-0.9781873041048441,1975.481401332673,176.720805274677,35261.621638010074,228.04202,0.00025196376,25166.10339824343,1.4340740627884903,0.38445326371189886,0.0001756978738187822,6462492583333.792,7.817907362631056e-05,-4.2269473,-40.59393,-0.15143712,0.8991747,229.57668,-3.7751362,-39.42138,0.0029408717758707325,0.013709717891847183,0.01148986336400421,1065.3615002173551,744.6517,320.70982785407386,-179.35052,179.35052,161533.34613065675,62102.02211823482,5.804695192368735e-06,0.008087570880779563,42.8157821455945,1.4157861247942443,40007173.36782329,0.6329436888660378,4.239890195485974e-17,2.2271922255282167e-05,-36.967503,10.6498995,-26.317604,True,-11960041.218766363,1169,0.3202777777777778,698705.3287154378,4473544.825055268,,
89290,50,1,2021-09-11 12:52:00,2021-09-11 13:11:12,0 days 00:00:00,-30.661573336212882,40.388387051503656,10320.873623921776,251.6279987427327,False,0.0,0.0,0.0,736.7007248403044,179.7833900474735,0.0,228.0355,0.00025185122,25162.79987427327,1.434351325530458,0.38441378508340934,0.00017558544739733383,6585353998064.528,7.855490765990193e-05,-4.228968,-40.58766,-0.15176569,0.89973825,229.56998,-3.777187,-39.415363,0.0029423293418443562,0.01361665307907822,0.0,1065.3574612899858,744.87366,320.48380406342335,-179.35149,179.35149,104023.28007316968,39987.98282971875,4.989096638570596e-06,0.006242920353876174,44.011837772601716,1.525620458894555,63306540.549696274,1.3117219221777794,3.754403470788309e-17,1.5761244090987254e-05,-68.65579,17.738802,-50.916992,True,0.0,1169,0.0,698480.8603221624,4473491.095928225,,
89291,60,1,2021-09-11 12:52:10,2021-09-11 13:11:12,0 days 00:19:02,-30.689582018294942,40.38274798840556,10334.374996872262,251.1034154055709,True,247.84374568947533,-0.31208098865582584,-0.9500555018100797,1818.5036284799235,175.5084127729347,31996.081140306487,227.93051,0.00024972443,25110.34154055709,1.4370166716123884,0.3837890952557729,0.00017377977071314526,6418373775320.173,7.803706048942178e-05,-4.262218,-40.5483,-0.15535305,0.90523,229.46222,-3.8106062,-39.379307,0.002964410054327118,0.013709087135734474,0.010607509984094831,1065.3296676792086,747.24286,318.0868087924898,-179.37605,179.37605,149730.90307929568,57465.08782463271,5.665966585946481e-06,0.00776442044820155,42.22837933571253,1.4005422961889646,42866059.332595356,0.6213376865579746,4.183940294120473e-17,2.193559437170615e-05,-36.651363,10.461362,-26.190002,True,-11794170.211180588,1169,0.31722222222222224,696119.6954169392,4472802.55753047,,
89292,61,1,2021-09-11 12:52:11,2021-09-11 13:11:12,0 days 00:19:01,-30.692361703994493,40.38205241606586,10336.934998982744,251.004048843843,True,230.5709324820402,-0.20997286644942206,-0.9777072135128252,1950.2073539370979,180.7924842565073,35229.624482949206,227.91043,0.00024926328,25100.4048843843,1.4372087447622222,0.3836710094704344,0.00017343568108571468,2732436141080.076,7.746678118259836e-05,-4.2685285,-40.55164,-0.1557402,0.90563416,229.44164,-3.8169525,-39.38315,0.0029684502151172865,0.01354816633957502,0.011330101602405206,1065.3287204951191,747.48175,317.84697000683786,-179.3803,179.3803,166390.5657092663,63839.236312030844,7.781531431858831e-06,0.01335910625745234,44.28343131450222,1.6500644449555115,16421821.330029331,0.4972744936310207,1.2218523196730766e-16,2.383191610417674e-05,-28.763376,9.818698,-18.94468,True,-8516378.628244417,1169,0.3169444444444444,695885.7372490006,4472719.175852611,,
89293,62,1,2021-09-11 12:52:12,2021-09-11 13:11:12,0 days 00:00:00,-30.695023018699374,40.38161701316134,10338.172476477203,250.9560275331592,False,0.0,0.0,0.0,740.5989243726858,185.73404436064064,0.0,227.90085,0.00024906898,25095.602753315918,1.4374448930170292,0.3836137319306954,0.0001732720200600422,2783772137096.4736,7.780920531749242e-05,-4.2714777,-40.547646,-0.15607867,0.9061555,229.4318,-3.8199518,-39.379448,0.0029705218880027927,0.013405539186997767,0.0,1065.324714696039,747.708,317.6167068835391,-179.38301,179.38301,108034.99941677578,41443.70930539986,6.706037690395107e-06,0.01035940813083487,46.24526982260612,1.8353891845143315,25767317.555649534,0.9722267275925238,1.0837829366976749e-16,1.7056553077347298e-05,-56.34308,15.738159,-40.60492,True,0.0,1169,0.0,695661.0700861184,4472664.945678099,,
89294,67,1,2021-09-11 12:52:17,2021-09-11 13:11:12,0 days 00:18:55,-30.708857320525567,40.37882820638124,10346.835567445969,250.6200576043604,True,242.07467974399938,-0.2347155984784275,-0.972064086277707,1885.081891045299,173.0064941990447,32851.628265398096,227.83336,0.0002475991,25062.00576043604,1.4385017712166572,0.38321366080141656,0.00017212289642954003,8111789919175.808,7.773841588710375e-05,-4.292643,-40.53992,-0.15789929,0.90863293,229.36256,-3.841313,-39.373596,0.002984467083616664,0.013756770362897295,0.011305986326675033,1065.3109099644169,748.8962,316.4147307651981,-179.4029,179.4029,151667.29840246055,58120.98064466775,5.2536926239474515e-06,0.006826953335340814,41.1757292136252,1.3519567872291598,53484106.360558785,0.6886786644653817,3.122512339108498e-17,2.2043960564723993e-05,-40.970116,11.084797,-29.885319,True,-13639174.709661532,1169,0.31527777777777777,694494.6495598392,4472324.819816543,,
