,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
723003,0,1,2021-01-30 10:37:25,2021-01-30 10:57:28,0 days 00:20:03,6.506914139533336,49.68893574519801,8754.43821149731,318.81829360382545,True,209.55707561416048,0.037054939979995476,-0.999313229884944,1033.3287962738643,205.23199417038515,-15172.956621807944,227.43378,0.00021959587,31881.829360382544,1.7018155393488372,0.48834948497991415,0.0001290362326886447,30285095431685.633,9.184617147975273e-05,23.641615,4.864176,0.1834208,1.0041003,229.201,22.680437,4.517111,0.0011432912057375687,0.010530125346203118,-0.003940797250974626,522.4080376283673,,,,,136579.3561081368,66698.4582142969,3.7482624062350897e-06,0.003423386982991906,44.35306847736047,1.9064997335112406,221739919.5212737,2.160759920296117,8.850560353837688e-18,1.5066798147385299e-05,,,,True,,1202,0.33416666666666667,752922.5186462066,5509951.836351045,,
723004,1,1,2021-01-30 10:37:26,2021-01-30 10:57:28,0 days 00:20:02,6.504004209716811,49.68900551404304,8760.116115324798,318.550948409691,True,209.66737517638666,0.0368153011766669,-0.9993220870166292,1029.2188511044967,204.5836737061395,-15065.633804324269,227.38145,0.00021892904,31855.094840969097,1.7058051135408807,0.48805226136256985,0.00012834352366941507,29861378504578.207,9.189505103748141e-05,23.657587,4.884921,0.18146819,1.0053566,229.14763,22.696941,4.537513,0.0011507979417396542,0.010538791696238526,-0.00394651565034486,522.3970643965292,,,,,135603.03459576663,66181.3676820907,3.756816834048647e-06,0.003434058355615829,44.109564150136436,1.9010014415965533,220211727.51476496,2.1482591134509033,8.98293308700863e-18,1.5115197111276005e-05,,,,True,,1202,0.3338888888888889,752712.3318788115,5509949.789399465,,
723005,2,1,2021-01-30 10:37:27,2021-01-30 10:57:28,0 days 00:20:01,6.501092714273284,49.689074868009854,8765.786273897671,318.28414908923827,True,209.77833447991918,0.03658619728328333,-0.9993305009696984,1025.159708828916,203.94422255416657,-14960.124003775578,227.32922,0.00021826342,31828.414908923827,1.7097893138650468,0.4877555330646811,0.00012765515496016838,29446589358848.57,9.194063922076033e-05,23.6735,4.905686,0.17952517,1.006597,229.09435,22.713388,4.5579343,0.0011583076805041514,0.010547320408399166,-0.003952298450110793,522.3860931342944,,,,,134642.4978169792,65672.62329588084,3.76530053618682e-06,0.0034446579078575277,43.86972914721066,1.8955547238599149,218702043.08654162,2.136504584645563,9.115974261944452e-18,1.5163204410671177e-05,,,,True,,1202,0.33361111111111114,752502.0348665328,5509947.699229101,,
723006,3,1,2021-01-30 10:37:28,2021-01-30 10:57:28,0 days 00:20:00,6.498179644669676,49.68914382672122,8771.446936865465,318.01797708267816,True,210.7854522454087,0.03486208653722813,-0.9993921327098143,1018.2806558983051,203.3192487583271,-14796.668860155796,227.27742,0.00021760169,31801.797708267815,1.7137153121046405,0.4874587251524531,0.00012697656634131824,28915064084597.207,9.197919406117447e-05,23.68881,4.9255314,0.17725977,1.007878,229.04153,22.729355,4.5774302,0.0011655049826592289,0.010554451213517533,-0.0039433786854387734,522.3751233753188,,,,,133406.02007679388,65029.92847429651,3.776361755124275e-06,0.0034582382313348317,43.630747091564515,1.8907281587671985,216744822.0698926,2.1255713780246457,9.291086871888306e-18,1.5223553429294428e-05,,,,True,,1202,0.3333333333333333,752291.6268874442,5509945.568005292,,
723007,4,1,2021-01-30 10:37:29,2021-01-30 10:57:28,0 days 00:19:59,6.495252332189182,49.68920985097738,8776.936322356654,317.76003094582836,True,224.66902049797477,0.07071842233684617,-0.997496318159715,1058.0487501967157,202.72538691098492,-16170.947025203654,227.22731,0.0002169622,31776.003094582837,1.717514106391941,0.487170746400022,0.0001263233887252661,28348003489116.543,9.200321905855356e-05,23.702908,4.944613,0.17481688,1.0092552,228.99048,22.744165,4.596149,0.0011722763086464737,0.010560504837416594,-0.004300296051743767,522.3641703310653,,,,,134372.93628997644,65462.56366835043,3.810118969590938e-06,0.0034980434365014168,43.40112187784589,1.8815176306231756,210965126.39972106,2.0506682889102437,9.497959719593648e-18,1.5542247917553536e-05,,,,True,,1202,0.33305555555555555,752080.2075889566,5509943.070975026,,
723008,5,1,2021-01-30 10:37:30,2021-01-30 10:57:28,0 days 00:19:58,6.492137999145399,49.68935264750268,8782.444504599644,317.50137186205154,True,224.7462467093146,0.07057458820852106,-0.9975065049909186,1055.183827351927,202.24890691416246,-16092.802873122793,227.17691,0.00021631888,31750.137186205153,1.7213301259657372,0.4868821889565868,0.00012566960469664849,28128010613510.617,9.203453434529274e-05,23.716326,4.9639263,0.17232667,1.0108154,228.93913,22.758316,4.6150784,0.001179052013510784,0.010564163317911063,-0.0043061759772479,522.3509067867421,,,,,133677.26127486024,65085.077583225524,3.8131020459467407e-06,0.003502308492048421,43.21230898131407,1.8764719556947356,210417316.64202234,2.044698689895213,9.574003314522393e-18,1.5572918173831768e-05,,,,True,,1202,0.3327777777777778,751854.9063587119,5509948.487502428,,
723009,6,1,2021-01-30 10:37:31,2021-01-30 10:57:28,0 days 00:19:57,6.489022551862604,49.68949520260546,8787.946379142926,317.2431792064829,True,227.57370541829522,0.06529094839474006,-0.9978662696262036,1041.906603467541,201.78209458562273,-15824.692679705287,227.1266,0.00021567648,31724.317920648293,1.725138575859014,0.4865940147748809,0.00012501980142516742,27571601778829.01,9.207181581838018e-05,23.729683,4.983259,0.16984896,1.0123578,228.88788,22.772404,4.634027,0.0011858303434010508,0.010567675891613114,-0.004262243041556307,522.3376425389031,,,,,131827.9057348941,64146.66991090667,3.820559437430843e-06,0.003511755861571743,43.027363633105786,1.872061806829712,209148447.175331,2.0410758445279975,9.772613968863994e-18,1.565757485440832e-05,,,,True,,1202,0.3325,751629.5272292392,5509953.882815882,,
723010,7,1,2021-01-30 10:37:32,2021-01-30 10:57:28,0 days 00:19:56,6.485866315454217,49.68962875957532,8791.98762518848,317.0536394322728,True,251.1392021220278,0.026718140189571526,-0.9996430067703223,964.9983826278991,204.56618320143806,-14495.857687794805,227.08891,0.00021520803,31705.36394322728,1.7281125728838616,0.4863839879907224,0.00012453356934416656,11233352338171.932,9.187941051765831e-05,23.73598,5.0003037,0.1675265,1.0145012,228.84953,22.77928,4.650622,0.0011905422358157126,0.010508884777425221,-0.003870081208512505,522.3244429720125,,,,,125469.24339958165,61026.23097486715,5.065113025972763e-06,0.0061583306158777005,43.97686989042925,2.046987632791858,89530725.09090611,1.7832573217258774,3.164782460938175e-17,1.6831088227106006e-05,,,,True,,1202,0.3322222222222222,751401.2546236364,5509958.1507728,,
723011,8,1,2021-01-30 10:37:33,2021-01-30 10:57:28,0 days 00:19:55,6.482377968145954,49.689689023713015,8784.681628777313,317.3963673001539,True,224.8495207976097,0.0317046643833506,-0.9994972807648549,1047.5444555658955,233.63299101932475,-16465.37310937734,227.14915,0.00021609044,31739.636730015387,1.7246399772146002,0.4867806507223869,0.00012529597096913573,1065810095290.7255,9.089079360860705e-05,23.687551,4.9994254,0.16629589,1.0215107,228.91133,22.73024,4.6487775,0.0011794617693095689,0.010006031446591528,-0.0037376073494923526,522.3117877631411,,,,,162003.835878512,78860.33264846484,1.205258607902788e-05,0.027110273887980763,54.61729676658431,3.7506305231616923,6578918.884920633,0.8463335815954109,6.109546166047295e-16,2.0659099691326307e-05,,,,True,,1202,0.33194444444444443,751149.4141361795,5509953.170888878,,
723012,9,1,2021-01-30 10:37:34,2021-01-30 10:57:28,0 days 00:19:54,6.479254733796438,49.68975307327829,8789.82630654562,317.15499671972134,True,224.91500706565375,0.03158015923618114,-0.9995012223817525,1047.4411701743297,233.44740326071192,-16467.036986732335,227.10191,0.00021549297,31715.499671972135,1.7282719854807262,0.48651163547249415,0.00012468695309083823,1069023124861.9875,9.092642434806075e-05,23.699163,5.0187054,0.16381769,1.0231768,228.8632,22.742537,4.6676435,0.0011858026449439762,0.010004082416658882,-0.003741406728845263,522.3002307665017,,,,,161793.4758522687,78714.40854566672,1.2034639946581148e-05,0.027047160323613463,54.519938316958516,3.738819328485099,6607331.471375875,0.8442627939754034,6.085086174944372e-16,2.0639409148656826e-05,,,,True,,1202,0.33166666666666667,750923.8812908094,5509949.8439733125,,
