,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
557401,99,1,2019-03-20 01:40:12,2019-03-20 01:58:36,0 days 00:18:24,134.67319495053368,32.86008444273317,10878.481327268066,230.68754056773147,True,237.372117476568,-0.1236860098252795,-0.9923214050767527,809.9279000531005,149.12445102618207,7000.7718261574855,221.89253,9.4607574e-05,23068.75405677315,1.042227715438229,0.3621795382907115,9.077437961181584e-05,18208983421550.28,7.954508568505463e-08,57.21159,-15.255493,0.16902037,0.04141339,223.18231,55.73111,-15.142995,0.0048631100636745824,0.017305436672177175,0.003435439375310106,1093.6207721043875,958.1587,135.46208069813747,-243.89503,243.89503,84045.4193766696,30439.53118529141,3.259136544110169e-07,0.0001687223075746221,38.48400640336206,0.8515625478225919,216656464.5235736,0.013322248203080632,5.359242754941325e-21,1.3774878892594533e-05,-1.2094654,0.084584914,-1.1248804,True,-218074.37494049492,1202,0.30666666666666664,1031160.1780678795,3650072.8030314054,,
557402,100,1,2019-03-20 01:40:13,2019-03-20 01:58:36,0 days 00:18:23,134.67067320328977,32.85982038982421,10878.781012128518,230.67667869761462,True,243.94107609322268,-0.1194141974680528,-0.9928445243053218,802.8329448534594,148.9096093686067,6792.3179851243285,221.89012,9.4599105e-05,23067.667869761462,1.0423998560220087,0.3621664164957648,9.075126451905912e-05,18177432927990.19,1.0665379116052117e-07,57.21077,-15.24731,0.16871978,0.041249692,223.18013,55.730473,-15.135509,0.004861441137141469,0.01731249686192736,0.0033559899358988773,1093.608650469714,958.1143,135.49433162205764,-243.88039,243.88039,83634.45099306024,30289.589411747285,3.5899885442103895e-07,0.00019058381372339062,38.388854780116205,0.8528811785337744,217343842.30606723,0.018505455367615654,7.381196854836058e-21,1.381502289243765e-05,-1.6799067,0.12898582,-1.550921,True,-304981.43582359626,1202,0.3063888888888889,1030925.338058017,3650030.7305383747,,
557403,101,1,2019-03-20 01:40:14,2019-03-20 01:58:36,0 days 00:18:22,134.66808031224411,32.85955840014776,10879.138800759214,230.66371143895293,True,243.9540032317411,-0.1194606153670201,-0.9928389403000533,800.2906218435451,148.6795386313563,6742.729799127975,221.88733,9.458421e-05,23066.371143895292,1.0425405962325747,0.36215063298796774,9.072472719531965e-05,18115280002995.086,1.3276497507211588e-07,57.210274,-15.238938,0.16841577,0.041069254,223.17755,55.73018,-15.127851,0.004859900839889804,0.017320038473918428,0.0033502772265502586,1093.5960655791623,958.06824,135.5278282744748,-243.86513,243.86513,83297.19153660431,30166.13064110124,3.861002147730275e-07,0.00020888982560868867,38.286993268545466,0.8539602771759481,217477680.4453781,0.023348319076295164,9.395650954956049e-21,1.3860651530949268e-05,-2.1194708,0.17453617,-1.9449346,True,-380857.17722253007,1202,0.3061111111111111,1030683.8147595843,3649988.533862598,,
557404,102,1,2019-03-20 01:40:15,2019-03-20 01:58:36,0 days 00:18:21,134.66548730602472,32.85929629475149,10879.49565713223,230.65077855586566,True,244.14179017662394,-0.11937935263183443,-0.9928487146414625,797.4601243974371,148.4508844705088,6689.009450668774,221.88452,9.456948e-05,23065.077855586565,1.0426851558856396,0.3621349030529676,9.069801831862825e-05,18039573444322.78,1.589132013643074e-07,57.20977,-15.230565,0.16811135,0.040889416,223.17496,55.729874,-15.120191,0.004858359283852281,0.017327583781008793,0.003342366004521695,1093.583479065245,958.0222,135.56126226837,-243.84984,243.84984,82937.26105470206,30034.476991523195,4.0991953344895103e-07,0.00022525892354936187,38.18594883593865,0.8549380986619857,217508671.1921269,0.02805701900924988,1.1470158062064986e-20,1.3908736368124039e-05,-2.5468953,0.22211665,-2.3247786,True,-453897.98119587224,1202,0.30583333333333335,1030442.2803430433,3649946.3299109973,,
557405,103,1,2019-03-20 01:40:16,2019-03-20 01:58:36,0 days 00:00:00,134.66289228569758,32.859034165967685,10879.837897260284,230.6383759337966,False,0.0,0.0,0.0,685.5838868738507,148.24898195317343,0.0,221.88182,9.455655e-05,23063.83759337966,1.0428395309602434,0.36211982759736405,9.067219374138006e-05,18792521788015.414,1.471091194344326e-07,57.20915,-15.222177,0.16780499,0.040713716,223.17247,55.72945,-15.112515,0.00485681445123646,0.01733392467643417,-0.0,1093.5708781532082,957.9762,135.59468186414574,-243.83456,243.83456,79825.6020972776,28906.433269321948,3.891022111644115e-07,0.00021094452147864086,38.096084766643955,0.8556404874052148,235419731.19243556,0.02896719321578402,1.0055260006120093e-20,1.4416549393132713e-05,-2.6301587,0.21809034,-2.4120684,True,0.0,1202,0.0,1030200.5562244228,3649904.1193621126,,
557406,111,1,2019-03-20 01:40:24,2019-03-20 01:58:36,0 days 00:18:12,134.64206948969593,32.85693748006956,10880.38971426043,230.61837948129886,True,237.29150749947365,-0.12446159238073587,-0.9922244262373566,796.3361270794179,148.85514252818663,6688.466946375991,221.87457,9.471316e-05,23061.837948129887,1.0454224522221007,0.3621002685115124,9.05979805376521e-05,18309517895548.586,4.810717203355193e-07,57.18749,-15.153703,0.16512524,0.03988136,223.16734,55.708923,-15.049721,0.0048408768291358225,0.017288204083283226,0.0033498051046693235,1093.4695975449981,957.60614,135.86345740827937,-243.7121,243.7121,83075.49657336938,30081.65961594428,5.903717785679349e-07,0.00035671265823666615,38.30694926135986,0.8633502247660395,220396129.43364424,0.07181535468395558,3.761288207001092e-20,1.3973600713220559e-05,-6.5211873,0.8023146,-5.7188725,True,-1081002.0134700108,1202,0.30333333333333334,1028260.8525903078,3649566.380561497,,
557407,112,1,2019-03-20 01:40:25,2019-03-20 01:58:36,0 days 00:18:11,134.63954893483697,32.856671861824424,10880.702939672006,230.60702960915722,True,243.129641664508,-0.12067583965585169,-0.9926919671899007,790.7577172603574,148.6317628703941,6500.484512697023,221.87209,9.470338e-05,23060.70296091572,1.0455864470972056,0.36208651180871365,9.057441121197604e-05,18333912211167.906,5.082904791065777e-07,57.18674,-15.145534,0.16482243,0.039716788,223.16507,55.708355,-15.042247,0.004839326167707156,0.01729575274759174,0.003278716415889811,1093.4574751369541,957.5617,135.8957685939854,-243.69759,243.69759,82781.4900936263,29974.060990328733,6.003181717187791e-07,0.0003643063073885485,38.20874084017079,0.8639491847802305,221473570.84817097,0.07470926267058656,3.985990781523363e-20,1.3993797203941974e-05,-6.784017,0.8476947,-5.936322,True,-1141597.2812624807,1202,0.3030555555555556,1028026.1215449605,3649524.212109481,,
557408,113,1,2019-03-20 01:40:26,2019-03-20 01:58:36,0 days 00:18:10,134.63696515936772,32.85640798540695,10881.163175069893,230.5903535806222,True,243.7058208260412,-0.12030584464603768,-0.9927368753823963,786.9841799971585,148.35827656076927,6433.57727970329,221.8686,9.467672e-05,23059.03535806222,1.045670209692827,0.3620660129851773,9.054166106172702e-05,18217115663890.67,5.285596791543051e-07,57.187004,-15.137244,0.16452567,0.039513316,223.16179,55.708824,-15.034668,0.004837922114229514,0.017305297778173793,0.003266228652661793,1093.4449412962558,957.516,135.92895008531832,-243.68251,243.68251,82309.03561453815,29801.304357610792,6.083178787670894e-07,0.00037044081161723033,38.08926883184103,0.8643767650865111,221325830.48601535,0.07638475618660462,4.18574083563558e-20,1.4051991755903182e-05,-6.935774,0.8774431,-6.0583305,True,-1162337.902831076,1202,0.30277777777777776,1027785.4519230163,3649481.9255518676,,
557409,114,1,2019-03-20 01:40:27,2019-03-20 01:58:36,0 days 00:18:09,134.63437514997378,32.85614429433161,10881.553633653697,230.5762065894478,True,243.7148407623457,-0.12034502021922122,-0.9927321270657233,784.2775957308801,148.08830289505863,6381.768182043531,221.86559,9.465839e-05,23057.62065894478,1.045798941230037,0.3620487295766957,9.051299044134477e-05,18143549658133.43,5.534766057646671e-07,57.186726,-15.128899,0.16422115,0.039328005,223.15898,55.708744,-15.027033,0.004836387443534704,0.017314803164369362,0.003260716263561304,1093.4323645811946,957.47,135.96239387806963,-243.66739,243.66739,81932.18884893421,29663.444884194545,6.176089067731663e-07,0.00037758996846749013,37.971615190786295,0.8648637648004402,221445928.7983424,0.0783686934175965,4.4180726300448373e-20,1.4097945030317588e-05,-7.115554,0.9129942,-6.2025595,True,-1185903.7859159203,1202,0.3025,1027544.1957192047,3649439.634413996,,
557410,115,1,2019-03-20 01:40:28,2019-03-20 01:58:36,0 days 00:00:00,134.63178506484974,32.85588050763923,10881.946460376448,230.56197450571042,False,0.0,0.0,0.0,680.0559295297668,147.874924237183,0.0,221.86255,9.4639836e-05,23056.197450571042,1.0459261115602265,0.36203133428982515,9.048424628966452e-05,18019113421704.07,5.428889776003503e-07,57.186462,-15.120554,0.16391651,0.039142493,223.15616,55.70868,-15.019397,0.004834853112211306,0.017321738052308626,-0.0,1093.4197862359147,957.4241,135.99571397028967,-243.65227,243.65227,78982.16755212292,28594.01950399759,6.075727535044872e-07,0.00036988125875511566,37.877432851644876,0.8667555622727225,228141541.06131193,0.08724489683154107,4.3447992817210574e-20,1.4615947901253885e-05,-7.926526,1.0003737,-6.926152,True,0.0,1202,0.0,1027302.9319604957,3649397.3384200674,,
